x-axis,1,2,3
second,Volt,Volt,Volt
-27.48000E-03,+787.50002E-03,+937.50000E-03,+661.99994E-03
-27.46000E-03,+662.50002E-03,+656.25000E-03,+505.74994E-03
-27.44000E-03,+693.75002E-03,+562.50000E-03,+474.49994E-03
-27.42000E-03,+881.25002E-03,+531.25000E-03,+568.24994E-03
-27.40000E-03,+1.10000002E+00,+625.00000E-03,+786.99994E-03
-27.38000E-03,+1.44375002E+00,+843.75000E-03,+1.13074994E+00
-27.36000E-03,+1.72500002E+00,+1.18750000E+00,+1.47449994E+00
-27.34000E-03,+2.03750002E+00,+1.56250000E+00,+1.88074994E+00
-27.32000E-03,+2.28750002E+00,+1.96875000E+00,+2.25574994E+00
-27.30000E-03,+2.47500002E+00,+2.28125000E+00,+2.53699994E+00
-27.28000E-03,+2.53750002E+00,+2.53125000E+00,+2.78699994E+00
-27.26000E-03,+2.44375002E+00,+2.71875000E+00,+2.78699994E+00
-27.24000E-03,+2.35000002E+00,+2.75000000E+00,+2.72449994E+00
-27.22000E-03,+2.10000002E+00,+2.59375000E+00,+2.50574994E+00
-27.20000E-03,+1.78750002E+00,+2.40625000E+00,+2.16199994E+00
-27.18000E-03,+1.41250002E+00,+2.06250000E+00,+1.75574994E+00
-27.16000E-03,+1.13125002E+00,+1.65625000E+00,+1.31824994E+00
-27.14000E-03,+912.50002E-03,+1.28125000E+00,+943.24994E-03
-27.12000E-03,+725.00002E-03,+937.50000E-03,+630.74994E-03
-27.10000E-03,+693.75002E-03,+687.50000E-03,+505.74994E-03
-27.08000E-03,+756.25002E-03,+531.25000E-03,+474.49994E-03
-27.06000E-03,+943.75002E-03,+500.00000E-03,+599.49994E-03
-27.04000E-03,+1.22500002E+00,+656.25000E-03,+818.24994E-03
-27.02000E-03,+1.56875002E+00,+937.50000E-03,+1.19324994E+00
-27.00000E-03,+1.88125002E+00,+1.28125000E+00,+1.63074994E+00
-26.98000E-03,+2.19375002E+00,+1.68750000E+00,+2.06824994E+00
-26.96000E-03,+2.41250002E+00,+2.09375000E+00,+2.41199994E+00
-26.94000E-03,+2.56875002E+00,+2.43750000E+00,+2.69324994E+00
-26.92000E-03,+2.53750002E+00,+2.65625000E+00,+2.78699994E+00
-26.90000E-03,+2.41250002E+00,+2.78125000E+00,+2.78699994E+00
-26.88000E-03,+2.13125002E+00,+2.71875000E+00,+2.53699994E+00
-26.86000E-03,+1.81875002E+00,+2.53125000E+00,+2.28699994E+00
-26.84000E-03,+1.47500002E+00,+2.15625000E+00,+1.88074994E+00
-26.82000E-03,+1.16250002E+00,+1.78125000E+00,+1.41199994E+00
-26.80000E-03,+912.50002E-03,+1.34375000E+00,+1.00574994E+00
-26.78000E-03,+725.00002E-03,+937.50000E-03,+693.24994E-03
-26.76000E-03,+693.75002E-03,+687.50000E-03,+474.49994E-03
-26.74000E-03,+725.00002E-03,+500.00000E-03,+443.24994E-03
-26.72000E-03,+975.00002E-03,+500.00000E-03,+568.24994E-03
-26.70000E-03,+1.31875002E+00,+625.00000E-03,+849.49994E-03
-26.68000E-03,+1.72500002E+00,+968.75000E-03,+1.28699994E+00
-26.66000E-03,+1.94375002E+00,+1.37500000E+00,+1.72449994E+00
-26.64000E-03,+2.28750002E+00,+1.78125000E+00,+2.19324994E+00
-26.62000E-03,+2.44375002E+00,+2.21875000E+00,+2.56824994E+00
-26.60000E-03,+2.53750002E+00,+2.53125000E+00,+2.81824994E+00
-26.58000E-03,+2.44375002E+00,+2.68750000E+00,+2.84949994E+00
-26.56000E-03,+2.25625002E+00,+2.78125000E+00,+2.75574994E+00
-26.54000E-03,+1.94375002E+00,+2.62500000E+00,+2.41199994E+00
-26.52000E-03,+1.56875002E+00,+2.34375000E+00,+2.03699994E+00
-26.50000E-03,+1.25625002E+00,+1.96875000E+00,+1.56824994E+00
-26.48000E-03,+943.75002E-03,+1.50000000E+00,+1.06824994E+00
-26.46000E-03,+787.50002E-03,+1.03125000E+00,+693.24994E-03
-26.44000E-03,+662.50002E-03,+718.75000E-03,+474.49994E-03
-26.42000E-03,+787.50002E-03,+468.75000E-03,+443.24994E-03
-26.40000E-03,+1.00625002E+00,+531.25000E-03,+568.24994E-03
-26.38000E-03,+1.31875002E+00,+625.00000E-03,+849.49994E-03
-26.36000E-03,+1.66250002E+00,+937.50000E-03,+1.25574994E+00
-26.34000E-03,+2.06875002E+00,+1.31250000E+00,+1.78699994E+00
-26.32000E-03,+2.31875002E+00,+1.84375000E+00,+2.25574994E+00
-26.30000E-03,+2.50625002E+00,+2.25000000E+00,+2.59949994E+00
-26.28000E-03,+2.53750002E+00,+2.62500000E+00,+2.84949994E+00
-26.26000E-03,+2.41250002E+00,+2.81250000E+00,+2.84949994E+00
-26.24000E-03,+2.13125002E+00,+2.75000000E+00,+2.69324994E+00
-26.22000E-03,+1.81875002E+00,+2.56250000E+00,+2.34949994E+00
-26.20000E-03,+1.41250002E+00,+2.21875000E+00,+1.84949994E+00
-26.18000E-03,+1.10000002E+00,+1.75000000E+00,+1.31824994E+00
-26.16000E-03,+756.25002E-03,+1.28125000E+00,+880.74994E-03
-26.14000E-03,+693.75002E-03,+875.00000E-03,+536.99994E-03
-26.12000E-03,+725.00002E-03,+562.50000E-03,+349.49994E-03
-26.10000E-03,+912.50002E-03,+437.50000E-03,+443.24994E-03
-26.08000E-03,+1.22500002E+00,+531.25000E-03,+693.24994E-03
-26.06000E-03,+1.60000002E+00,+812.50000E-03,+1.13074994E+00
-26.04000E-03,+1.97500002E+00,+1.21875000E+00,+1.66199994E+00
-26.02000E-03,+2.31875002E+00,+1.71875000E+00,+2.13074994E+00
-26.00000E-03,+2.47500002E+00,+2.18750000E+00,+2.53699994E+00
-25.98000E-03,+2.47500002E+00,+2.53125000E+00,+2.84949994E+00
-25.96000E-03,+2.41250002E+00,+2.75000000E+00,+2.91199994E+00
-25.94000E-03,+2.13125002E+00,+2.84375000E+00,+2.75574994E+00
-25.92000E-03,+1.75625002E+00,+2.62500000E+00,+2.38074994E+00
-25.90000E-03,+1.35000002E+00,+2.28125000E+00,+1.84949994E+00
-25.88000E-03,+1.00625002E+00,+1.71875000E+00,+1.28699994E+00
-25.86000E-03,+756.25002E-03,+1.28125000E+00,+849.49994E-03
-25.84000E-03,+662.50002E-03,+781.25000E-03,+536.99994E-03
-25.82000E-03,+756.25002E-03,+531.25000E-03,+349.49994E-03
-25.80000E-03,+1.00625002E+00,+406.25000E-03,+443.24994E-03
